"College Code","College Desc","Division Code","Division Desc","Dept1 Short Desc","Dept2 Code","Dept2 Short Desc","Dept1 Code","Prog Code","Prog Short Title","Prog Long Title","ATAS Req’d Ind","Prog Mode Code","Prog Mode Desc","Campus Code","Campus Desc","Length","Degree Code","Degree Long Desc","Joint Honours Ind","Alt Qual Ind","Subject1 Code","Subject1 Desc","Subject2 Code","Subject2 Desc","Subject3 Code","Subject3 Desc","Delivering Institution 1 Code","Delivering Institution 1 Desc","Delivering Institution 2 Code","Delivering Institution 2 Desc","Delivering Institution 3 Code","Delivering Institution 3 Desc","UOM Code","UOM Desc","Major Dept Code","Major Dept Short Desc","Reg Body Code","Reg Body Desc"
"12","College Social Sciences","035","School of Social Policy","Social Work & Social Care","","","263","785C","PhD Soc Work + Soc Care PT","","N","31","Part-time","B","Birmingham","6","057","Doctor of Philosophy","N","N","L500","Social work","","","","","0110","University of Birmingham","","","","","1","Year(s)","263","Social Work & Social Care","",""
"11","College Arts and Law","050","Phil, Theology and Religion","Philosophy","","","140","727C","MSc Glob Ethics + Justi FT DL","Global Ethics and Justice","N","01","Full-time according to funding coun","D","Distance Education","1","039","Master of Science","N","N","V500","Philosophy","","","","","0110","University of Birmingham","","","","","1","Year(s)","140","Philosophy","",""
"13","College Eng and Physical Sci","014","Chemistry","Chemistry","016","Computer Science","014","715C","MSci Chem w Ind Exp w Yr Co Sc","Chemistry with Industrial Experience with Year in Computer Science","N","01","Full-time according to funding coun","B","Birmingham","5","096","Master in Science","N","N","F100","Chemistry","I100","Computer science","","","0110","University of Birmingham","","","","","1","Year(s)","014","Chemistry","",""
"11","College Arts and Law","050","Phil, Theology and Religion","Philosophy","142","Political Sci & Intern'tl Stud","140","741C","BA Philosophy w Politic Sci FT","Philosophy with Political Science","N","01","Full-time according to funding coun","B","Birmingham","3","003","Bachelor of Arts","N","N","V500","Philosophy","L200","Politics","","","0110","University of Birmingham","","","","","1","Year(s)","140","Philosophy","",""
"11","College Arts and Law","049","Lan, Cult, Art Hist & Music","Modern Languages","","","227","011D","MA Translation Studie DE Fixed","Translation Studies","N","31","Part-time","D","Distance Education","2","038","Master of Arts","N","N","Q910","Translation studies","","","","","0110","University of Birmingham","","","","","1","Year(s)","227","Modern Languages","",""
"10","College Life and Env Sci","038","School of Bioscience","School of Biosciences","","","038","025D","PhD Biosciences (SUSTech) FT","","Y","01","Full-time according to funding coun","J","Joint Institutions","3","057","Doctor of Philosophy","N","N","C700","Molecular biology, biophysics & bi","","","","","0110","University of Birmingham","Z158","Southern University of Science and Technology, China","","","1","Year(s)","038","School of Biosciences","",""
"13","College Eng and Physical Sci","080","School of Engineering","Civil Engineering","","","015","035D","MSc Rail Saf+Con Sys DL Fixed","Railway Safety and Control Systems","N","31","Part-time","D","Distance Education","2","039","Master of Science","N","N","H290","Civil engineering not elsewhere cla","","","","","0110","University of Birmingham","Z159","The University of York","","","1","Year(s)","015","Civil Engineering","",""
"13","College Eng and Physical Sci","080","School of Engineering","Civil Engineering","","","015","037D","MSc Construction Mana PT Fixed","Construction Management","N","31","Part-time","B","Birmingham","2","039","Master of Science","N","N","H200","Civil engineering","","","","","0110","University of Birmingham","","","","","1","Year(s)","015","Civil Engineering","",""
"13","College Eng and Physical Sci","080","School of Engineering","Elec, Elec & Sys Engineering","","","021","038D","MSc Elec + Comput Eng PT Fixed","Electronic and Computer Engineering","N","31","Part-time","B","Birmingham","2","039","Master of Science","N","N","H610","Electronic engineering","","","","","0110","University of Birmingham","","","","","1","Year(s)","021","Elec, Elec & Sys Engineering","",""
"10","College Life and Env Sci","036","Sport, Ex and Rehab Sciences","Physiotherapy","","","241","051D","PGCert Manip Physiotherapy PT","Manipulative Physiotherapy","N","31","Part-time","B","Birmingham","1","086","Postgraduate Certificate","N","N","B160","Physiotherapy","","","","","0110","University of Birmingham","","","","","1","Year(s)","241","Physiotherapy","",""
